Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:79AUyMecqmkjzeagNvC68L,"Dumm Dümmer","Dumm und gefährlich Deluxe","Comfort Boys;Gideon Trumpet;Connect",2021-04-23,115110,4,true,gemuetlichkeit,2025-12-22T16:58:20Z,"german hip hop","Comfort Boys",0.906,0.41,7,-13.914,1,0.375,0.074,0.000497,0.0868,0.465,124.773,4
spotify:track:0I4vdvCJcIoo0h3rEU39jA,"Shot Clock","Flyest Alive","Elias",2019-06-21,150935,41,true,gemuetlichkeit,2025-12-22T16:58:46Z,"german hip hop","Plugs",0.78,0.572,8,-3.821,1,0.457,0.0197,0,0.101,0.476,178.119,4
spotify:track:1VVXleOdSTlRz9jrvPMLYh,"Junimond","Junimond","Jamule",2025-06-20,150973,47,false,gemuetlichkeit,2025-12-22T17:02:10Z,"german hip hop","Life is Pain",0.765,0.463,1,-9.856,1,0.101,0.586,0.162,0.1,0.298,120.053,4
spotify:track:0fq5iBq7EdrpqvG5BumAOM,"Backgammon","Soßenbrot","XAVER;KazOnDaBeat",2020-07-03,144000,0,true,gemuetlichkeit,2025-12-22T17:04:07Z,"german hip hop,german indie","Butzemann",0.836,0.386,8,-14.658,0,0.36,0.0307,0,0.148,0.793,90.001,4
spotify:track:1ine19pMzaN7szNg2323JV,"Parkplatz","Beluga","Olexesh",2025-11-27,154000,49,true,gemuetlichkeit,2025-12-22T17:06:32Z,"german hip hop","385ideal",0.791,0.732,9,-8.333,0,0.33,0.821,0.00000355,0.121,0.545,99.96,4
spotify:track:6afELfgrsmlVydHUbFyfTQ,"Hollyhood","Hollyhood","Jezzy;Ivo Divo",2025-09-12,188050,2,true,gemuetlichkeit,2025-12-22T17:07:17Z,"","recordJet",0.681,0.876,6,-4.538,0,0.28,0.0668,0,0.363,0.647,90.112,4
spotify:track:11Bqg1ApNHZopAjfBTYUGT,"Robert De Niro","Robert De Niro","Keanu;G.FiT;ATP Beats",2024-10-25,142222,33,true,gemuetlichkeit,2025-12-22T17:07:50Z,"german hip hop","recordJet",0.713,0.686,6,-10.611,0,0.407,0.287,0,0.24,0.666,161.954,4
spotify:track:1sMcSrcf2YZEXfzX65GudP,"Bin Laden","Topspieler","Fergy53",2019-08-09,128596,42,false,gemuetlichkeit,2025-12-22T17:08:33Z,"german hip hop","VSOP ENTERTAINMENT&SPORTRECORDS",0.745,0.638,8,-6.814,0,0.114,0.362,0.235,0.0974,0.537,168.114,4
spotify:track:2gldQnM34PB26OtHcfLZ7J,"Çay","Çay","Dante YN",2020-08-05,143162,46,true,gemuetlichkeit,2025-12-22T17:09:05Z,"german hip hop","Kafa Leş",0.8,0.471,1,-12.173,1,0.0985,0.0653,0.00111,0.341,0.495,83.021,4
spotify:track:1F3iOF9cENd8yy2AwEsg8D,"Karte knackt","Ungestreckt EP 2","Koushino;Camaeleon",2021-01-08,165253,46,true,gemuetlichkeit,2025-12-22T17:10:22Z,"german hip hop","Columbia/Koushino x Camaeleon",0.595,0.551,2,-8.468,1,0.344,0.0297,0.0000246,0.364,0.518,90.409,4
spotify:track:17xC4jTj1kzw4PhaQyOhUd,"TRAPPER'S LULLABY","BORN SPINNER","reezy",2025-08-08,252831,62,true,gemuetlichkeit,2025-12-22T17:11:55Z,"german hip hop","Four Music/TEENAGER FOREVER Ent.",0.725,0.453,0,-10.638,0,0.168,0.441,0.112,0.252,0.371,152.005,4
spotify:track:0Bf7Lc7d6gE3xUDCePUvV7,"erstersommerohnedich","erstersommerohnedich","Pashanim",2025-09-11,154741,70,false,gemuetlichkeit,2025-12-22T17:23:06Z,"german hip hop","Urban",0.805,0.586,1,-7.656,1,0.414,0.177,0,0.108,0.346,82.004,4
spotify:track:7EcS0PpanwW4wOmYhT4EJQ,"Flouz kommt Flouz geht","Habeebeee","Nimo",2016-02-26,190591,64,false,gemuetlichkeit,2025-12-22T17:23:49Z,"german hip hop","385ideal",0.547,0.697,0,-6.702,0,0.429,0.545,0,0.139,0.167,73.449,3
spotify:track:71j6udGdh89xHjY0okNLXv,"WEST","Art & Design","Kolja Goldstein",2021-08-12,137500,0,true,gemuetlichkeit,2025-12-22T17:27:59Z,"german hip hop","2427095 Records DK2",0.655,0.58,1,-8.723,0,0.452,0.102,0,0.108,0.564,81.176,4
spotify:track:0K7h3qIpXruphMbAq3UtEB,"Überlebt","Überlebt","Vega",2025-08-07,241440,46,true,gemuetlichkeit,2025-12-22T17:31:39Z,"german hip hop","Urban",0.508,0.308,1,-12.74,0,0.112,0.496,0.0000012,0.141,0.338,152.86,4
spotify:track:1YJ8sZEvRO3NZGikK2BXOg,"#FREEBARANKOK","#FREEBARANKOK","Baran Kok",2025-11-07,157021,45,true,gemuetlichkeit,2025-12-22T17:31:46Z,"","Baran Kok",0.844,0.682,2,-6.465,1,0.303,0.0281,0,0.0878,0.663,141.001,4
spotify:track:4aAZTaXHlm625nZhF6Zr12,"bad bunnies","bad bunnies","Zsá Zsá;Replay Okay",2025-05-02,137114,61,true,gemuetlichkeit,2025-12-22T17:32:28Z,"","0909 Future Club x Ventura Records",0.585,0.773,1,-5.615,1,0.0677,0.131,0.0000145,0.323,0.51,170.176,4
spotify:track:1IMa0Il4w988MwZCUcISix,"bissu dumm ¿ MEGALODON REMIX","bissu dumm ¿ MEGALODON REMIX","Bonez MC;Nate57;Jugglerz;AchtVier;AK 33;AK AUSSERKONTROLLE;AZAD;Big Toe;CANEY030;Celo & Abdi;Crackaveli;Curse;Dardan;Die P;Eno;FiNCH;Frauenarzt;Hakan Abi;Haze;Jaill",2025-04-16,1114155,65,true,gemuetlichkeit,2025-12-22T17:32:38Z,"german hip hop,dancehall,schlagerparty","187 Strassenbande & Vertigo/Capitol",0.8,0.755,4,-5.292,0,0.343,0.107,0,0.629,0.632,94.964,4
spotify:track:4hFuNRpYgcNrS7O0S9MVSN,"Maybachufer","Maybachufer","Wa22ermann",2023-07-06,168950,39,true,gemuetlichkeit,2025-12-22T17:32:50Z,"german hip hop","Four Music/Wa22ermann",0.841,0.593,11,-8.661,0,0.248,0.486,0.0000213,0.0949,0.502,128.019,4
spotify:track:7gE1ke5xGPC3bvGeGTQ5Pk,"SOS FOTZENALARM","SOS FOTZENALARM","Kleptos",2023-09-16,179200,31,true,gemuetlichkeit,2025-12-22T17:35:10Z,"","Kleptos",0.836,0.841,11,-6.393,1,0.101,0.00365,0.0000685,0.553,0.969,150.062,4
spotify:track:0o4Cfom6QVL2gPMwjOs9gb,"Trans Agenda Dynastie","Trans Agenda Dynastie","Kerosin95",2022-03-04,183800,35,true,gemuetlichkeit,2025-12-22T17:36:18Z,"","Ink Music",0.763,0.64,0,-3.648,1,0.285,0.175,0,0.0948,0.369,175.644,4
spotify:track:1MeuH9ZnajRwp5XzDk47eo,"Karstadtdetektiv","Ich habe dir Blumen von der Tanke mitgebracht (jetzt wird geküsst)","Team Scheisse",2021-11-05,79619,41,false,gemuetlichkeit,2025-12-22T17:37:39Z,"punk","SoulForce/BMG",0.6,0.927,11,-7.269,0,0.0998,0.218,0,0.733,0.612,130.064,4
spotify:track:42cwHEfOw7WU7HhocIEScv,"Was Deutschrap","Was Deutschrap","DONNA SAVAGE",2024-12-13,130421,35,true,gemuetlichkeit,2025-12-22T17:41:38Z,"german hip hop","Wave Planet Records",0.801,0.503,0,-9.872,1,0.365,0.133,0,0.354,0.576,93.996,4
spotify:track:7Grb5T1TrhuS1R40afQqG7,"Asozial statt National","70/30","Teuterekordz",2021-07-16,203655,42,false,gemuetlichkeit,2025-12-22T17:42:56Z,"german hip hop","Columbia/Teuterekordz",0.851,0.554,10,-7.622,0,0.269,0.067,0,0.0646,0.424,144.973,4
spotify:track:6HJjnoHqY45AtiiXLNAGv7,"Köfte","Gast","Apsilon",2022-01-14,174235,39,false,gemuetlichkeit,2025-12-22T17:43:44Z,"german indie,german hip hop,german indie pop","Four Music Local",0.627,0.702,4,-7.879,0,0.523,0.208,0.000001,0.178,0.504,80.819,4
spotify:track:3zeMmx8H9FdIH7N1pseXw1,"Metro","Punch-Drunk Love","Dennis Dies Das",2019-08-02,225861,27,false,gemuetlichkeit,2025-12-22T17:47:49Z,"","GOLD LEAGUE/AEIOU",0.865,0.753,6,-6.696,0,0.136,0.113,0.00255,0.0875,0.668,127.039,4
spotify:track:64OZv7nYfdkUYF1FVzZWsY,"Pizza","Anarchie und Alltag + Bonusalbum Atombombe auf Deutschland","Antilopen Gang",2017-01-20,181318,46,true,gemuetlichkeit,2025-12-22T17:47:57Z,"german hip hop,german indie pop","JKP/WM Germany",0.648,0.683,10,-7.602,0,0.413,0.0422,0,0.176,0.784,95.018,4
spotify:track:2tSEky7cVS0wNgDS2HxvYP,"HIER & DA","INZ PT1","LUVRE47",2024-08-02,150766,50,true,gemuetlichkeit,2025-12-22T17:49:25Z,"german hip hop","A Million / Groove Attack",0.922,0.664,11,-4.617,0,0.0762,0.0043,0,0.102,0.806,146.027,4
spotify:track:5fzDpw2ecK1KghidsBVM4q,"30er Zone","Sampler 4","187 Strassenbande;LX;Sa4;Maxwell",2017-07-18,213186,45,true,gemuetlichkeit,2025-12-22T17:52:46Z,"german hip hop","AUF!KEINEN!FALL!",0.514,0.682,1,-6.702,1,0.357,0.12,0,0.157,0.272,95.445,4
spotify:track:7Es5XYCmKaZSEqbhUwQM4O,"Augen schwer","unter meiner Haut, Pt. 1 & Pt. 2","frytz;Carlo5",2024-10-11,156928,54,false,gemuetlichkeit,2025-12-22T17:55:46Z,"german indie,german indie pop,german pop","Guesstimate",0.819,0.682,4,-7.693,0,0.323,0.283,0.0027,0.207,0.856,140.087,3
spotify:track:0dzALDsTpfpWnEF6uzBIVf,"Danke Nein","Lost Tape","Lostboi Lino",2021-05-07,142220,40,false,gemuetlichkeit,2025-12-22T17:56:07Z,"german indie,german indie pop,german pop,neue deutsche welle","Lostboi Lino",0.843,0.546,3,-6.691,0,0.16,0.305,0.000465,0.19,0.634,125.965,4
spotify:track:2kOxp9BK7kiD2e4odseUN2,"SANTA FREESTYLE","SANTA FREESTYLE","THIZZY52",2025-12-04,133024,68,true,gemuetlichkeit,2025-12-22T17:56:35Z,"german hip hop","Urban",0.818,0.493,5,-7.953,0,0.349,0.0592,0.000374,0.123,0.677,130.111,4
spotify:track:5J5pSegYgOTi5uHx1IjzOO,"Blau Weißer Carlo","Blau Weißer Carlo","Toujour",2025-12-05,124000,66,false,gemuetlichkeit,2025-12-22T17:57:23Z,"german hip hop","BESTE",0.726,0.713,2,-4.086,1,0.0561,0.0675,0.00115,0.0912,0.336,110.008,4
spotify:track:36dqKlZ1gLVD1FreVKH3MQ,"Findet Nemo","Cartier Vision","Djunis",2025-12-15,91621,47,true,gemuetlichkeit,2025-12-22T17:58:43Z,"","Goldmund Media Berlin GmbH",0.686,0.627,5,-8.2,1,0.197,0.0112,0.0182,0.198,0.558,147.919,4
spotify:track:0gThlZWwZWkDqRKGOz2CN1,"Angels Sippen","Angels Sippen","Symba",2020-03-27,131272,58,false,gemuetlichkeit,2025-12-22T18:00:02Z,"german hip hop","SME - Symba",0.892,0.571,1,-10.54,1,0.285,0.0984,0.00000165,0.257,0.872,82.52,4
spotify:track:1JEfGq3ZWwHLHpc4wBY5u6,"Pâtissier","Pâtissier","Sosa La M",2024-04-26,153135,68,false,gemuetlichkeit,2025-12-22T18:01:08Z,"german hip hop","GOLD LEAGUE",0.836,0.598,10,-8.99,0,0.245,0.0468,0.0026,0.168,0.351,141.958,4
spotify:track:5BrxP8vvjxRQdoJxkMwOYf,"bandz","bandz","zara",2025-12-12,80553,40,true,gemuetlichkeit,2025-12-22T18:01:50Z,"","zara",0.751,0.442,10,-7.319,0,0.237,0.0714,0,0.121,0.519,167.064,4
spotify:track:0m2ybU8xciTehKhZgzwx7Q,"step","step","pepino",2025-12-04,120875,56,true,gemuetlichkeit,2025-12-22T18:02:37Z,"german hip hop","Urban",0.863,0.578,5,-9.664,0,0.361,0.0239,0.00000177,0.0955,0.416,136.975,4
spotify:track:34y5yuvWwxO93Ws1Ng0PVw,"Kleines Mädchen große Träume","Kleines Mädchen große Träume","AYCA;Ceren",2025-08-07,131880,41,false,gemuetlichkeit,2025-12-22T18:05:31Z,"german hip hop","DUTY FREE",0.657,0.865,6,-4.968,1,0.269,0.0604,0.00000837,0.144,0.442,111.578,4
spotify:track:0cJfvqVGxKTEnElBAwAbiz,"rags2riches","sum2prove","Joje",2025-09-05,144396,43,true,gemuetlichkeit,2025-12-22T18:06:11Z,"german hip hop","Columbia Local",0.864,0.53,1,-6.527,1,0.247,0.0813,0.000728,0.274,0.637,137.953,4
spotify:track:18jvXAgxmuTqdDOzetuT86,"Original Berliner","Original Berliner","AYCA",2025-12-11,121453,44,true,gemuetlichkeit,2025-12-22T18:06:45Z,"german hip hop","DUTY FREE",0.811,0.687,2,-5.905,1,0.0752,0.109,0.173,0.105,0.285,106.022,4
spotify:track:1P0gub1eKrNoTmsFGzQ4TU,"Bee Gees - Single Edit","Bee Gees","OG Keemo;Levin Liam",2023-12-08,217500,48,true,gemuetlichkeit,2025-12-22T18:07:25Z,"german hip hop,german indie,german indie pop,german pop","Chimperator Productions",0.62,0.485,1,-9.258,1,0.293,0.36,0,0.108,0.328,131.936,4
spotify:track:4iIHvqwjvL4MW2KDmatV0H,"ZAHLTAG","KULT","Boondawg",2024-10-18,137601,51,true,gemuetlichkeit,2025-12-22T18:07:39Z,"german hip hop","Boondawg",0.535,0.518,8,-11.721,0,0.208,0.2,0,0.237,0.525,149.928,4
spotify:track:4jovlourW2piHTMbsfjpmS,"YOU&ME","YOU&ME","Josi",2025-11-28,124267,55,false,gemuetlichkeit,2025-12-22T18:08:37Z,"german hip hop","Josi",0.867,0.659,9,-6.137,1,0.173,0.0441,0.0000421,0.0944,0.47,113.316,5
